ds,y
11/18/2013,155.960007
11/25/2013,156.419998
12/2/2013,155.770004
12/9/2013,156.350006
12/16/2013,156.789993
12/23/2013,159.399994
12/30/2013,157.089996
1/6/2014,156.380005
1/13/2014,158.710007
1/20/2014,158.960007
1/27/2014,160.839996
2/3/2014,160.380005
2/10/2014,160.929993
2/17/2014,161.910004
2/24/2014,162.889999
3/3/2014,162.720001
3/10/2014,162.139999
3/17/2014,162.839996
3/24/2014,162.639999
3/31/2014,161.779999
4/7/2014,158.820007
4/14/2014,160.619995
4/21/2014,160.899994
4/28/2014,159.600006
5/5/2014,160.800003
5/12/2014,159.839996
5/19/2014,162.009995
5/26/2014,162.600006
6/2/2014,162.289993
6/9/2014,163.199997
6/16/2014,163.100006
6/23/2014,162.699997
6/30/2014,162.5
7/7/2014,162
7/14/2014,159.809998
7/21/2014,162.050003
7/28/2014,161.800003
8/4/2014,162.300003
8/11/2014,162.199997
8/18/2014,159.809998
8/25/2014,160.789993
9/1/2014,162.520004
9/8/2014,160.100006
9/15/2014,161.910004
9/22/2014,162.350006
9/29/2014,163.589996
10/6/2014,162.800003
10/13/2014,161.589996
10/20/2014,161.960007
10/27/2014,163.910004
11/3/2014,169.559998
11/10/2014,167.699997
11/17/2014,172.050003
11/24/2014,174.800003
12/1/2014,179.800003
12/8/2014,180.399994
12/15/2014,179.800003
12/22/2014,181.800003
12/29/2014,181.380005
1/5/2015,178.699997
1/12/2015,185.550003
1/19/2015,190.399994
1/26/2015,189.75
2/2/2015,192.199997
2/9/2015,203.899994
2/16/2015,197
2/23/2015,201
3/2/2015,199.399994
3/9/2015,199.25
3/16/2015,198.899994
3/23/2015,199.050003
3/30/2015,195.320007
4/6/2015,199.100006
4/13/2015,196.470001
4/20/2015,195.300003
4/27/2015,198.899994
5/4/2015,198.949997
5/11/2015,195.660004
5/18/2015,198.949997
5/25/2015,199
6/1/2015,198.899994
6/8/2015,198.800003
6/15/2015,198.899994
6/22/2015,198.949997
6/29/2015,196.020004
7/6/2015,198.899994
7/13/2015,197.419998
7/20/2015,198.850006
7/27/2015,198.800003
8/3/2015,199
8/10/2015,198.899994
8/17/2015,196.479996
8/24/2015,196.610001
8/31/2015,198.339996
9/7/2015,198.699997
9/14/2015,198.850006
9/21/2015,198.949997
9/28/2015,199
10/5/2015,196.300003
10/12/2015,198.899994
10/19/2015,198.949997
10/26/2015,198.899994
11/2/2015,199
11/9/2015,194.679993
11/16/2015,196.410004
11/23/2015,196.309998
11/30/2015,189.220001
12/7/2015,198.850006
12/14/2015,196.460007
12/21/2015,196
12/28/2015,196.800003
1/4/2016,194.699997
1/11/2016,195.860001
1/18/2016,196.889999
1/25/2016,195.869995
2/1/2016,198.899994
2/8/2016,196.970001
2/15/2016,195.860001
2/22/2016,195.460007
2/29/2016,194.979996
3/7/2016,195.889999
3/14/2016,196.630005
3/21/2016,199
3/28/2016,199
4/4/2016,196.449997
4/11/2016,199
4/18/2016,196.949997
4/25/2016,195.720001
5/2/2016,199
5/9/2016,199
5/16/2016,199
5/23/2016,199
5/30/2016,199
6/6/2016,198.850006
6/13/2016,195.059998
6/20/2016,281.279999
6/27/2016,279.649994
7/4/2016,279.390015
7/11/2016,284.26001
7/18/2016,295.290009
7/25/2016,311.029999
8/1/2016,322
8/8/2016,317.809998
8/15/2016,343.670013
8/22/2016,314.779999
8/29/2016,310.76001
9/5/2016,312.779999
9/12/2016,314.980011
9/19/2016,312.51001
9/26/2016,312.579987
10/3/2016,313.670013
10/10/2016,317.940002
10/17/2016,319.488831
10/24/2016,315
10/31/2016,315
11/7/2016,318.471344
11/14/2016,319.488831
11/21/2016,314
11/28/2016,33
12/5/2016,318.471344
12/12/2016,307.692322
12/19/2016,315
12/26/2016,314.5
1/2/2017,314.5
1/9/2017,315
1/16/2017,316.455688
1/23/2017,317.460327
1/30/2017,315.457428
2/6/2017,317.460327
2/13/2017,318.471344
2/20/2017,309.597534
2/27/2017,315.457428
3/6/2017,315
3/13/2017,308.641968
3/20/2017,314
3/27/2017,315
4/3/2017,310.559021
4/10/2017,314
4/17/2017,315
4/24/2017,318.471344
5/1/2017,315
5/8/2017,314
5/15/2017,316.455688
5/22/2017,321
5/29/2017,315.457428
6/5/2017,322
6/12/2017,232
6/19/2017,317.460327
6/26/2017,345
7/3/2017,317.460327
7/10/2017,347
7/17/2017,346
7/24/2017,348
7/31/2017,362
8/7/2017,365
8/14/2017,362
8/21/2017,365
8/28/2017,350
9/4/2017,359
9/11/2017,350
9/18/2017,351
9/25/2017,351
10/2/2017,362.318848
10/9/2017,351
10/16/2017,352
10/23/2017,352
10/30/2017,354
11/6/2017,353
11/13/2017,357
11/20/2017,355
11/27/2017,357
12/4/2017,356
12/11/2017,358
12/18/2017,356
12/25/2017,357
1/1/2018,358
1/8/2018,358
1/15/2018,358
1/22/2018,359
1/29/2018,357
2/5/2018,358
2/12/2018,357
2/19/2018,359
2/26/2018,358
3/5/2018,356
3/12/2018,357
3/19/2018,357
3/26/2018,355
4/2/2018,358
4/9/2018,359
4/16/2018,359
4/23/2018,358
4/30/2018,359
5/7/2018,360
5/14/2018,360
5/21/2018,359
5/28/2018,359
6/4/2018,358
6/11/2018,356
6/18/2018,358
6/25/2018,359.5
7/2/2018,360
7/9/2018,360
7/16/2018,360.5
7/23/2018,361.049988
7/30/2018,360
8/6/2018,360
8/13/2018,360.51001
8/20/2018,362
8/27/2018,361.670013
9/3/2018,359.299988
9/10/2018,362.5
9/17/2018,362
9/24/2018,362
10/1/2018,363
10/8/2018,362.5
10/15/2018,363
10/22/2018,362.5
10/29/2018,362.5
11/5/2018,364
11/12/2018,364
11/19/2018,363.5
11/26/2018,363.5
12/3/2018,363.5
12/10/2018,363.5
12/17/2018,363.5
12/24/2018,362
12/31/2018,364
1/7/2019,364.5
1/14/2019,362
1/21/2019,362
1/28/2019,360.5
2/4/2019,360.5
2/11/2019,361
2/18/2019,361.25
2/25/2019,361
3/4/2019,358.5
3/11/2019,357
3/18/2019,359
3/25/2019,359.5
4/1/2019,357
4/8/2019,359.5
4/15/2019,359.5
4/22/2019,360
4/29/2019,361.170013
5/6/2019,356
5/13/2019,356
5/20/2019,356
5/27/2019,356
6/3/2019,306.200012
6/10/2019,356
6/17/2019,355
6/24/2019,355
7/1/2019,359.5
7/8/2019,355
7/15/2019,356
7/22/2019,355
7/29/2019,355
8/5/2019,361.5
8/12/2019,363.160004
8/19/2019,361.859985
8/26/2019,358
9/2/2019,357
9/9/2019,357
9/16/2019,358
9/23/2019,359
9/30/2019,358
10/7/2019,359
10/14/2019,360
10/21/2019,360
10/28/2019,360
11/4/2019,360
11/11/2019,358
11/18/2019,360
11/25/2019,360
12/2/2019,360
12/9/2019,359
12/16/2019,359
12/23/2019,359
12/30/2019,359
1/6/2020,360
1/13/2020,360
1/20/2020,359
1/27/2020,359
2/3/2020,360
2/10/2020,361
2/17/2020,362
2/24/2020,364
3/2/2020,363
3/9/2020,363
3/16/2020,364
3/23/2020,364
3/30/2020,364
4/6/2020,364
4/13/2020,384
4/20/2020,389.5
4/27/2020,389.01001
5/4/2020,389.5
5/11/2020,387
5/18/2020,389.5
5/25/2020,387
6/1/2020,387
6/8/2020,385
6/15/2020,384
6/22/2020,384
6/29/2020,387.5
7/6/2020,384
7/13/2020,387.5
7/20/2020,387.5
7/27/2020,373
8/3/2020,378
8/10/2020,380
8/17/2020,386.089996
8/24/2020,386.220001
8/31/2020,373
9/7/2020,380.5
9/14/2020,384
9/21/2020,376
9/28/2020,378
10/5/2020,377
10/12/2020,376
10/19/2020,377
10/26/2020,386.959991
11/2/2020,378
11/9/2020,379
11/16/2020,379
11/23/2020,380.700012
11/30/2020,378
12/7/2020,377
12/14/2020,375
12/21/2020,376
12/28/2020,380.700012
1/4/2021,378
1/11/2021,380.700012
1/18/2021,375
1/25/2021,380.700012
2/1/2021,375
2/8/2021,380.649994
2/15/2021,375
2/22/2021,380.579987
3/1/2021,379.5
3/8/2021,380.5
3/15/2021,380
3/22/2021,380.5
3/29/2021,380.5
4/5/2021,380.880005
4/12/2021,380.5
4/19/2021,378
4/26/2021,380.5
5/3/2021,380.5
5/10/2021,376
5/17/2021,412
5/24/2021,410
5/31/2021,412
6/7/2021,410
6/14/2021,409.5
6/21/2021,410
6/28/2021,409
7/5/2021,410
7/12/2021,410.5
7/19/2021,410.5
7/26/2021,411.070007
8/2/2021,411
8/9/2021,411
8/16/2021,411.299988
8/23/2021,411
8/30/2021,411
9/6/2021,410.899994
9/13/2021,411.420013
9/20/2021,411
9/27/2021,410.299988
10/4/2021,410.309998
10/11/2021,410.350006
10/18/2021,410.380005
10/25/2021,409.75
11/1/2021,409.98999
11/8/2021,410.119995
11/15/2021,410.320007
11/22/2021,410.899994
11/29/2021,409.450012
12/6/2021,411.309998
12/13/2021,409.579987
12/20/2021,410.679993
12/27/2021,410.75
1/3/2022,412.540009
1/10/2022,413.600006
1/17/2022,414.450012
1/24/2022,414.98999
1/31/2022,415.540009
2/7/2022,416.369995
2/14/2022,415.369995
2/21/2022,415.640015
2/28/2022,416.290009
3/7/2022,415.339996
3/14/2022,415.76001
3/21/2022,415.25
3/28/2022,415.25
4/4/2022,415.149994
4/11/2022,414.029999
4/18/2022,415.079987
4/25/2022,414.829987
5/2/2022,414.619995
5/9/2022,414.829987
5/16/2022,414.619995
5/23/2022,414.720001
5/30/2022,414.579987
6/6/2022,414.630005
6/13/2022,414.790009
6/20/2022,414.589996
6/27/2022,414.769989
7/4/2022,414.76001
7/11/2022,414.829987
7/18/2022,414.899994
7/25/2022,414.959991
8/1/2022,416.690002
8/8/2022,418.369995
8/15/2022,419.829987
8/22/2022,421.390015
8/29/2022,422.459991
9/5/2022,426.76001
9/12/2022,428.109985
9/19/2022,429.709991
9/26/2022,431.540009
10/3/2022,432.899994
10/10/2022,434.700012
10/17/2022,436.109985
10/24/2022,437.160004
10/31/2022,438.880005
11/7/2022,440.459991
11/14/2022,442.160004
11/21/2022,442.76001
11/28/2022,443.670013
12/5/2022,444.470001
12/12/2022,444.970001
12/19/2022,446.130005
12/26/2022,447.579987
1/2/2023,449.549988
1/9/2023,452.089996
1/16/2023,454.559998
1/23/2023,459.779999
1/30/2023,460.040009
2/6/2023,458.98999
2/13/2023,455
2/20/2023,455
2/27/2023,456
3/6/2023,460.019989
3/13/2023,458
3/20/2023,459.980011
3/27/2023,459
4/3/2023,459.829987
4/10/2023,463
4/17/2023,461
4/24/2023,460
5/1/2023,460
5/8/2023,461
5/15/2023,460
5/22/2023,460
5/29/2023,460.76001
6/5/2023,461.670013
6/12/2023,608
6/19/2023,816
6/26/2023,752
7/3/2023,774
7/10/2023,777
7/17/2023,790.51001
7/24/2023,775
7/31/2023,777.5
8/7/2023,768.73999
8/14/2023,767.469971
8/21/2023,755.210022
8/28/2023,773
9/4/2023,785
9/11/2023,784
9/18/2023,767.429993
9/25/2023,777.599976
10/2/2023,761.539978
10/9/2023,768.099976
10/16/2023,749
10/23/2023,802.200012
10/30/2023,785.590027
11/6/2023,803.005981
11/13/2023,845
11/18/2023,839.541992
